----------------------------------------------------------------------------------,,,,
Search Criteria: ,,,,
"Text Search: lung cancer (and);Search in: Projects 		AdminIC: All; Fiscal Year: Active Projects ",,,,
----------------------------------------------------------------------------------,,,,
Project Title,Organization Name,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
MOLECULAR BASIS FOR ACTIVITY BY MEMBRANE BOUND O-ACYLTRANSFERASES,UNIVERSITY OF PENNSYLVANIA,2016,260583,
THE ROLE OF EPIGENETICS AND MIRNAS IN IPF,WEST VIRGINIA UNIVERSITY,2015,412967,
ROLE OF EFEMP1 IN THE PATHOGENESIS OF LEIOMYOMA,NORTHWESTERN UNIVERSITY AT CHICAGO,2016,,90431
MECHANISMS OF RESISTANCE AND ACTIVATION CONFERRED BY KINASES DISPLAYING HINGE AND GATE-KEEPER MUTATIONS,NEW YORK UNIVERSITY,2016,45076,
TUBULIN MICROTENTACLES IN DETACHED MAMMARY EPITHELIAL CELLS,UNIVERSITY OF MARYLAND BALTIMORE,2016,295632,
TARGETING MICROTUBULE STABILIZATION TO REDUCE BREAST TUMOR METASTASIS,UNIVERSITY OF MARYLAND BALTIMORE,2016,318513,
FUNCTIONAL CHARACTERIZATION OF THE LONG NON-CODING RNA SCIROCCO IN DEVELOPMENT AN,UNIVERSITY OF CALIFORNIA RIVERSIDE,2016,306744,
(PQA 2) OBESITY & OBSTRUCTIVE SLEEP APNEA IN HEPATOCELLULAR CARCINOMA PROGRESSION,UNIVERSITY OF ARIZONA,2015,131805,
SENSITIZATION OF BREAST CANCER AND CANCER STEM CELL TO SYSTEMIC THERAPY BY REISHI,UNIVERSIDAD CENTRAL DEL CARIBE,2016,92038,
IMPACT OF PREGNANCY DISEASE ON THE REGULATION OF PLACENTA DRUG TRANSPORT,UNIVERSITY OF KANSAS MEDICAL CENTER,2016,246388,
TGF&; PI3K AND HER2 PATHWAYS IN BREAST CANCER METASTASIS,SLOAN-KETTERING INST CAN RESEARCH,2016,,386459
MEDIATORS OF LUNG ADENOCARCINOMA METASTASIS,SLOAN-KETTERING INST CAN RESEARCH,2016,,253248
RESIDUAL DISEASE: UNRAVELING IMMUNOSURVEILLANCE AND IMMUNE EVASION OF DISSEMINATED TUMOR CELLS,SLOAN-KETTERING INST CAN RESEARCH,2016,,372730
TRANSLATIONAL RESEARCH AND INTERVENTIONAL ONCOLOGY RESEARCH PROGRAM (TR) (PROJECT-006),VANDERBILT UNIVERSITY MEDICAL CENTER,2016,,112857
VALIDATION OF BIOMARKERS OF RISK FOR THE EARLY DETECTION OF LUNG CANCER,VANDERBILT UNIVERSITY MEDICAL CENTER,2016,715735,
NON-INVASIVE EVALUATION OF INDETERMINATE PULMONARY NODULES,VANDERBILT UNIVERSITY MEDICAL CENTER,2016,387713,
CELLULAR; MOLECULAR AND QUANTITATIVE IMAGING ANALYSIS OF SCREENING-DETECTED LUNG ADENOCARCINOMA,VANDERBILT UNIVERSITY MEDICAL CENTER,2016,802247,
PHENOTYPIC HETEROGENEITY IN SMALL CELL LUNG CANCER.,VETERANS HEALTH ADMINISTRATION,2016,,
THE ROLE OF ADAPTIVE IMMUNITY IN CHRONIC HYPOXIA-INDUCED PULMONARY HYPERTENSION,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,2016,32204,
MOLECULAR REGULATION OF FOLATE AND ANTIFOLATE TRANSPORT,WAYNE STATE UNIVERSITY,2016,268479,
DISCOVERY OF NOVEL PCFT-TARGETED AGENTS,WAYNE STATE UNIVERSITY,2015,458348,
CENTRAL DATA COLLECTION CENTER (CDCC) CONTINUED FOLLOW-UP OF PLCO ,"WESTAT, INC.",2015,1716430,
PHASE-CHANGE CONTRAST AGENTS FOR ULTRASOUND DETECTION OF BREAST CANCER,UNIVERSITY OF ARIZONA,2015,159233,
SERIAL; NON-INVASIVE MOLECULAR ANALYSIS OF EXHALED BREATH CONDENSATE TO DEFINE THE PULMONARY FLORA IN CRITICALLY INJURED; VENTILATED ADULTS,VANDERBILT UNIVERSITY MEDICAL CENTER,2016,312050,
INNATE INFLAMMATORY RESPONSES DURING PULMONARY INFECTIONS,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2015,289104,
IDENTIFYING TUMOR SUPPRESSOR TARGETS OF SIRT6 IN LUNG CANCER,UNIVERSITY OF VIRGINIA,2016,384919,
ROTATING PET AND LINEAR ACCELERATOR SYSTEM FOR PET-GUIDED RADIATION THERAPY,"REFLEXION MEDICAL, INC.",2016,66210,
EPIDEMIOLOGY AND NATURAL HISTORY OF CANCER-ASSOCIATED VIRUSES,DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,3239380,
THE CARMA3/BCL10/MALT1 SIGNALOSOME IN OSTEOSARCOMA METASTASIS,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,48576,
DIRECTED CHEMOTHERAPY DELIVERY FOR LEPTOMENINGEAL METASTASES,"MINNETRONIX, INC.",2016,224970,
ETHANOL-INDUCED DYSFUNCTION OF LUNG ANTI-MICROBIAL ACTIVITY VIA VITAMIN D MODULAT,TULANE UNIVERSITY OF LOUISIANA,2016,140990,
MULTICENTER INTERVENTIONAL LYMPHANGIOLEIOMYOMATOSIS EARLY DISEASE TRIAL (MILED)-CCC,UNIVERSITY OF CINCINNATI,2016,752151,
PRECLINICAL THERAPEUTICS,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,,294597
EFFICACY OF POMALIDOMIDE IN HHT-RELATED BLEEDING,CLEVELAND CLINIC LERNER COM-CWRU,2016,233628,
INHIBITION OF SENESCENCE TO INCREASE CANCER CELL DEATH: A NEW PARADIGM,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC",2016,413086,
NETWORK MEDICINE APPROACHES TO CACHEXIA IN COPD,BRIGHAM AND WOMEN'S HOSPITAL,2016,172800,
THE TRANSNATIONAL COHORT: GLOBAL HIV EPIDEMIOLOGY AND PREVENTION RESEARCH FOR TRANSWOMEN.,PUBLIC HEALTH FOUNDATION ENTERPRISES,2016,467024,
AIDS AND CANCER SPECIMEN RESOURCE (ACSR),"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,4131087,
NOVEL NACHR-TARGETED PEPTIDES,UNIVERSITY OF UTAH,2016,348341,
PROFILING CANCER NEOANTIGEN REPERTOIRES AND VALIDATING IMMUNOTHERAPY TARGETS,FRED HUTCHINSON CANCER RESEARCH CENTER,2016,1064486,
GENOMIC AND TRANSCRIPTOMIC CHARACTERIZATION OF ATYPICAL CARCINOIDS OF THE LUNG,INTERNATIONAL AGENCY FOR RES ON CANCER,2016,56500,
IMPACT OF ENHANCEMENTS TO SMARTPHONE-BASED CONTINUING CARE FOR ALCOHOL DEPENDENCE,UNIVERSITY OF PENNSYLVANIA,2016,654114,
TARGETING ACETYL-COA METABOLISM FOR THE DISCOVERY OF NEW ANTI-CANCER THERAPEUTICS,UT SOUTHWESTERN MEDICAL CENTER,2016,475351,
TARGETING CD137L TO MC1R-EXPRESSING MELANOMA CELLS AND TUMORS.,"MODULATION THERAPEUTICS, INC.",2015,244801,
REGULATION OF POLARITY BY SONIC HEDGEHOG MORPHOGEN SIGNALING,UNIVERSITY OF SOUTHERN CALIFORNIA,2016,633625,
NICOTINE DEPENDENCE: NEUROPHARMACOLOGY IN MONKEYS,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,2016,375284,
STUDYING THE INITIATION; PROGRESSION AND THERAPY OF LUNG CANCER IN MOUSE MODELS,UNIVERSITY OF UTAH,2016,329788,
THE ROLE OF PTP4A3 IN COLORECTAL TUMOR FORMATION AND PROGRESSION,UNIVERSITY OF VIRGINIA,2016,30811,
MICRORNA THERAPY FOR LYMPH NODE METASTATIC BREAST CANCER,MASSACHUSETTS GENERAL HOSPITAL,2016,395711,
INNOVATIVE BIOMARKERS TO PREDICT RADIATION LUNG INJURY,MEDICAL COLLEGE OF WISCONSIN,2016,379928,
DEVELOPMENT OF LISINOPRIL FOR POST-EXPOSURE MITIGATION OF LATE EFFECTS FROM A RAD,MEDICAL COLLEGE OF WISCONSIN,2016,641332,
FUNCTIONAL ANALYSIS OF THE WT1-BASP1 TRANSCRIPTIONAL REPRESSOR COMPLEX,STATE UNIVERSITY OF NEW YORK AT BUFFALO,2015,293739,
HIV AND COPD:IMMUNE MEDIATED MECHANISMS,MASSACHUSETTS GENERAL HOSPITAL,2016,655958,
DEFINING ROLES OF NITROTYROSINE IN DISEASE VIA GENETIC CODE EXPANSION,OREGON STATE UNIVERSITY,2016,272749,
NEUTROPHILS AND ADAPTIVE IMMUNITY AGAINST INVASIVE ASPERGILLOSIS,UNIVERSITY OF VIRGINIA,2016,237000,
MECHANISMS OF SK2/S1P SIGNALING IN REGULATING TUMOR IMMUNOTHERAPY,MEDICAL UNIVERSITY OF SOUTH CAROLINA,2016,162581,
CARDIAC AUTONOMIC FUNCTION IN WOMEN,EMORY UNIVERSITY,2016,187812,
PEDIATRIC HEMATOLOGY/ONCOLOGY WORKFORCE DIVERSITY AND HEALTHCARE DISPARITIES,INDIANA HEMOPHILIA & THROMBOSIS CENTER,2016,9200,
MALADAPTIVE STRESS RESPONSE IN CHILDREN: A FEASIBILITY STUDY,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2015,192500,
TREATMENT OF PITUITARY CUSHING DISEASE WITH A SELECTIVE CDK INHIBITOR; R-ROSCOVIT,CEDARS-SINAI MEDICAL CENTER,2015,210897,
RATIONAL ANTIBODY THERAPY FOR IPF,"PANORAMA RESEARCH, INC.",2015,223800,
MECHANISMS IN THE REGULATION OF SP-A GENE EXPRESSION,UT SOUTHWESTERN MEDICAL CENTER,2016,461635,
ELUCIDATING THE STRESS RESPONSE REGULATORY NETWORKS THAT ENABLE MALIGNANCY,NORTHWESTERN UNIVERSITY AT CHICAGO,2016,249000,
A COMPUTER TOOL FOR AIDING IN ACCURATE ASSESSMENT OF INDETERMINATE LUNG NODULES,INTERNATIONAL INTELLIGENT INFOR/SOLU/LAB,2015,149970,
HARNESSING CSF-2 COMPARTMENTALIZED ROLE ON TISSUE RESIDENT PHAGOCYTES TO UNCOUPLE ANTI-TUMORAL FROM PATHOLOGICAL IMMUNITY INDUCED BY CHECKPOINT INHIBITORS,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2016,387731,
TUMOR AND STROMAL TARGETING BY ONCOLYTIC VIRUSES,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,2015,17175,
TUMOR AND STROMAL TARGETING BY ONCOLYTIC VIRUSES,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,2015,317475,
STUDY OF HEREDITARY RENAL AND OTHER FAMILIAL SYNDROMES,DIVISION OF BASIC SCIENCES - NCI,2015,238426,
USE OF MOUSE MODELS OF HUMAN RHABDOMYOSARCOMA TO STUDY PROGRESSION TO METASTASIS,DIVISION OF BASIC SCIENCES - NCI,2015,33627,
A NOVEL PRECLINICAL MODEL OF SPONTANEOUS METASTASIS,DIVISION OF BASIC SCIENCES - NCI,2015,638924,
SMALL-MOLECULE ANTAGONISTS OF RAL GTPASES IN CANCER,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,2016,602597,
TISSUE BANK AND BIOMARKERS CORE,UNIVERSITY OF COLORADO DENVER,2016,,260140
(PQC1) PLK1 AND EPHX3 PROMOTION OF GENOMIC INSTABILITY IN BRONCHIAL DYSPLASIA,UNIVERSITY OF COLORADO DENVER,2015,172656,
MUNC13-4 REGULATES CA2+-STIMULATED EXOSOME RELEASE DURING EMT,UNIVERSITY OF WISCONSIN-MADISON,2016,58002,
POPULATION STUDIES OF CIGARETTE SMOKING; OTHER TOBACCO USE; AND LUNG CANCER,UNIVERSITY OF CALIFORNIA SAN DIEGO,2015,202275,
NICOTINE AMPLIFICATION OF BEHAVIORAL AND NEURAL RESPONSES TO ALCOHOL CUES,STATE UNIVERSITY OF NEW YORK AT BUFFALO,2016,332100,
BIOMIMETIC ARTIFICIAL ANTIGEN PRESENTING CELLS FOR MELANOMA IMMUNOTHERAPY,JOHNS HOPKINS UNIVERSITY,2016,43576,
PROTEIN KINASE THERAPEUTIC TARGETS FOR NON-SMALL CELL LUNG CARCINOMA,DANA-FARBER CANCER INST,2016,1747745,
HOW DO GENOME ALTERATIONS CAUSE HUMAN LUNG CANCER?,DANA-FARBER CANCER INST,2016,1027500,
EXTENSION OF RADIOTHERAPY RESEARCH,UNIVERSITY OF TX MD ANDERSON CAN CTR,2015,295023,
COMPARATIVE MODELING OF LUNG CANCER PREVENTION AND CONTROL POLICIES,UNIVERSITY OF MICHIGAN,2016,1680258,
PROSPECTIVE IMMUNE PROFILING USING METHYLATION MARKERS AND PANCREATIC CANCER RISK,TUFTS UNIVERSITY BOSTON,2016,617928,
EVOLUTION AND TREATMENT RESPONSE OF BRAIN; BREAST; AND HEMATOLOGIC MALIGNANCIES,DANA-FARBER CANCER INST,2016,2237877,
IMPROVING CANCER TREATMENT PLANNING BY DMH-BASED INVERSE OPTIMIZATION,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,2016,318513,
THREE-DIMENSIONAL MODEL OF HUMAN EWING SARCOMA,RICE UNIVERSITY,2016,322736,
COUPLE-BASED MIND-BODY PROGRAM FOR LUNG CANCER PATIENTS AND THEIR PARTNERS,UNIVERSITY OF TX MD ANDERSON CAN CTR,2016,130584,
COUPLE-BASED MEDITATION PROGRAM FOR PATIENTS WITH METASTATIC LUNG CANCER AND THEIR PARTNERS,UNIVERSITY OF TX MD ANDERSON CAN CTR,2016,174000,
DISCOVERY OF THERAPEUTIC ANTIBODIES TARGETING BREAST CANCER METASTASIS USING ENABLED G-PROTEIN-COUPLED RECEPTORS,"ABILITA BIO, INC.",2016,300000,
INTERPLAY BETWEEN TRANSCRIPTION AND TRANSLATION,OHIO STATE UNIVERSITY,2016,186840,
TRPM2; MITOCHONDRIA; AND CELL SURVIVAL,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,2016,306306,
INVESTIGATIONAL DRUG SERVICES,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,,25732
EPISTATIC REGULATORY MECHANISMS OF CORONARY HEART DISEASE RISK,STANFORD UNIVERSITY,2016,154107,
UNDERSTANDING OPTIMAL DELIVERY SYSTEMS FOR CANCER CARE,UNIVERSITY OF MICHIGAN,2016,377699,
PROGRAM IN CLINICAL RESEARCH; CLINICAL SUPPORT SERVICES AND CLINICAL TRAINING,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,2015,6351573,
BUILDING UPON A TRADITION OF EXCELLENCE. THE NCTN AT INDIANA UNIVERSITY,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,2016,611729,
RADIATION FIELD MODELING AND COMPUTERIZED TREATMENT PLANNING,DIVISION OF CLINICAL SCIENCES - NCI,2015,184368,
TARGETING EPIGENETIC REGULATION TO DISRUPT GLIOMA STEM CELL MAINTENANCE.,CLEVELAND CLINIC LERNER COM-CWRU,2016,48576,
LUNG; HEAD AND NECK CANCERS,UNIVERSITY OF COLORADO DENVER,2016,,36906
PREDICTORS OF LUNG NODULE MALIGNANCY,UNIVERSITY OF COLORADO DENVER,2016,,273195
CAREER DEVELOPMENT PROGRAM,UNIVERSITY OF COLORADO DENVER,2016,,67438
WORKSHOP ON TECHNIQUES IN MODELING HUMAN CANCER IN MICE,JACKSON LABORATORY,2016,70396,
REGULATION OF A DNA DAMAGE RESPONSE NETWORK IN GLIOBLASTOMA,UNIVERSITY OF PENNSYLVANIA,2016,332000,
SPORE: DEVELOPING NEW RATIONALE; PERSONALIZED MEDICINE FOR LUNG CANCER,UT SOUTHWESTERN MEDICAL CENTER,2016,750052,
MOLECULAR SIGNATURES FOR INDIVIDUALIZING LUNG CANCER THERAPY,UT SOUTHWESTERN MEDICAL CENTER,2016,,393439
ADMINISTRATIVE CORE,UT SOUTHWESTERN MEDICAL CENTER,2016,,191940
DEVELOPMENTAL RESEARCH PROGRAM,UT SOUTHWESTERN MEDICAL CENTER,2016,,75904
CAREER DEVELOPMENT PROGRAM,UT SOUTHWESTERN MEDICAL CENTER,2016,,75904
SPORE: DEVELOPING NEW RATIONALE; PERSONALIZED MEDICINE FOR LUNG CANCER,UT SOUTHWESTERN MEDICAL CENTER,2016,2162000,
LONGITUDINAL STUDY OF ADOLESCENT TOBACCO USE AND TOBACCO CONTROL POLICY  IN INDIA,UNIVERSITY OF MICHIGAN,2016,602197,
STANFORD CANCER INSTITUTE,STANFORD UNIVERSITY,2016,3345301,
DEVELOPMENTAL DYNAMICS OF CILIATED EPITHELIA,NORTHWESTERN UNIVERSITY AT CHICAGO,2016,312578,
MODULATION OF THERAPEUTIC RESPONSE,DIVISION OF CLINICAL SCIENCES - NCI,2015,677808,
VASCULAR; PULMONARY AND RENAL INJURY,BRIGHAM AND WOMEN'S HOSPITAL,2016,815633,
SMALL MOLECULE TARGETING OF MIF AS A NOVEL MELANOMA THERAPEUTIC,UNIVERSITY OF LOUISVILLE,2016,311250,
RT-SQUARED-M METHOD TO STUDY THE PRECISE ROLE OF MITOCHONDRIA IN THE OXIDATIVE DAMAGE CAUSED BY ENVIRONMENTAL TOXINS,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2016,182842,
TRANSPORT OF EFFECTOR T CELLS AND NANO-DC VACCINE IN BREAST CANCER,METHODIST HOSPITAL RESEARCH INSTITUTE,2016,,502945
THE ROLE OF NEUROPILIN 1 IN GLIOMA ASSOCIATED MICROGLIA AND MACROPHAGES,STATE UNIVERSITY NEW YORK STONY BROOK,2016,33370,
UNDERSTANDING RESISTANCE IN THE HER2-HER3 TUMOR DRIVE,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,298554,
A MODIFIER OF PLASMACYTOMA SUSCEPTIBILITY MAPS TO MOUSE CHR 1,DIVISION OF BASIC SCIENCES - NCI,2015,152353,
REGULATORY T CELLS PROMOTE ALVEOLAR EPITHELIAL REPAIR,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,171145,
INVESTIGATING THE ROLE OF RETROTRANSPOSON MUERV-L REACTIVATION IN TUMORIGENESIS,UNIVERSITY OF CALIFORNIA BERKELEY,2016,56118,
ASSESSING AND UNDERSTANDING THE IMPACT OF PHYSCIAL AND BIOLOGICAL FACTORS ON ,MASSACHUSETTS GENERAL HOSPITAL,2016,,370769
TARGETING STABILIZED MUTANT P53 PROTEIN,STATE UNIVERSITY NEW YORK STONY BROOK,2016,356514,
DEVELOPING A DIAGNOSTIC BLOOD TEST FOR SARCOIDOSIS,"SARCOIDOSIS DIAGNOSTIC TESTING, LLC",2016,2500,
DEVELOPING A DIAGNOSTIC BLOOD TEST FOR SARCOIDOSIS,"SARCOIDOSIS DIAGNOSTIC TESTING, LLC",2015,224780,
DEVELOPMENT OF CASEIN KINASE 1D AND 1E INHIBITORS FOR TREATMENT OF BRAIN CANCER,SCRIPPS FLORIDA,2016,54294,
AUGMENTING CHIMERIC ANTIBODY RECEPTOR DIRECTED T CELL THERAPY FOR CANCER,UNIVERSITY OF PENNSYLVANIA,2016,173772,
MIR-29B AND AUTOPHAGY REGULATE ALVEOLAR MACROPHAGE FUNCTION POST-BMT,UNIVERSITY OF MICHIGAN,2016,444373,
PERIOSTIN REGULATION OF LUNG FIBROSIS,UNIVERSITY OF MICHIGAN,2016,415648,
HSCT-INDUCED ALTERATIONS IN DCS TO PROMOTE IL-17 AND LUNG PATHOLOGY,UNIVERSITY OF MICHIGAN,2016,485078,
CANCER VIROLOGY PROGRAM (PROJECT-002),UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,,34672
ENGINEERING THERAPEUTIC AND DIAGNOSTIC PROTEINS FOR TUMOR BIOMARKER MESOTHELIN,SMITH COLLEGE,2015,399232,
MOLECULAR MECHANISM OF CYTOCHROME P4501A1 EXPRESSION.,BAYLOR COLLEGE OF MEDICINE,2015,353925,
MECHANISMS OF  PLEURAL AND PULMONARY TOXICITY OF INDIUM COMPOUNDS,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,2015,262535,
MICRORNAS MEDIATING NOTCH SIGNALING IN LUNG ADENOCARCINOMA,RBHS -CANCER INSTITUTE OF NEW JERSEY,2016,33220,
PROGRANULIN SIGNALING IN BLADDER CANCER,THOMAS JEFFERSON UNIVERSITY,2016,321625,
VALIDATION OF QUANTITATIVE 11C-ERLOTINIB PET FOR IMAGING EGFR-MUTANT LUNG CANCER,YALE UNIVERSITY,2016,257699,
EPIGENIC REGULATION OF LUNG PROGENITOR REPAIR AND REGENERATION,UNIVERSITY OF PENNSYLVANIA,2016,663066,
DEVELOPMENTAL PATHWAYS REGULATING ADULT LUNG QUIESCENCE,UNIVERSITY OF PENNSYLVANIA,2016,568206,
REGULATION OF RAS-DEPENDENT SIGNAL TRANSDUCTION PATHWAYS,DIVISION OF BASIC SCIENCES - NCI,2015,669409,
ROLE OF PROTEIN SCAFFOLDS IN RTKRAS-DEPENDENT SIGNAL TRANSDUCTION,DIVISION OF BASIC SCIENCES - NCI,2015,669409,
ENHANCING RESEARCH CAPACITY IN GERIATRIC PALLIATIVE CARE,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2016,457577,
2016 HEMOSTASIS GORDON RESEARCH CONFERENCE AND GORDON RESEARCH SEMINAR,GORDON RESEARCH CONFERENCES,2016,24980,
DEFINING NOVEL DRIVERS AND PREDICTIVE SIGNATURES OF METASTASIS IN OSTEOSARCOMA TH,CASE WESTERN RESERVE UNIVERSITY,2016,43576,
TGF-BETA SUPPRESSION AND PROMOTION OF MAMMARY CARCINOMAS,VANDERBILT UNIVERSITY,2015,455112,
TELEPHONE SYMPTOM MANAGEMENT FOR ADVANCED LUNG CANCER PATIENTS AND CAREGIVERS,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,2016,136445,
ADP-RIBOSYLATION CYCLES,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2015,1226742,
CHARACTERIZATION OF THE PATHOGENESIS OF LYMPHANGIOLEIOMYOMATOSIS (LAM),"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2015,2278235,
ASPIRATION IN ACUTE RESPIRATORY FAILURE SURVIVORS,UNIVERSITY OF COLORADO DENVER,2016,208239,
TARGETING ONCOGENIC ALK SIGNALING IN NEUROBLASTOMA,CHILDREN'S HOSP OF PHILADELPHIA,2016,374344,
MECHANISM BEHIND CCL21/CCR7-MEDIATED PANCREATIC CANCER PROGRESSION,MEDICAL COLLEGE OF WISCONSIN,2016,45576,
NICOTINE METABOLISM IN AMERICAN INDIAN SMOKERS AND ELECTRONIC CIGARETTE USERS,UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,2016,69677,
CIRCULATING DIETARY & METABOLIC FATTY ACIDS; MAJOR CVD OUTCOMES; & HEALTHY AGING,TUFTS UNIVERSITY BOSTON,2016,639617,
MODIFIER OF CANCER SENSITIVITY TO STATINS,EASTERN VIRGINIA MEDICAL SCHOOL,2016,159319,
A NEW SMALL MOLECULE TARGETED THERAPEUTIC FOR ACUTE MYELOID LEUKEMIA,"TEAMEDON INTERNATIONAL, LLC",2016,278000,
A NOVEL PLASMINOGEN RECEPTOR IN BREAST CANCER,SAN DIEGO BIOMEDICAL RESEARCH INSTITUTE,2016,404465,
IGF::OT::IGF CORE INFRASTRUCTURE SUPPORT FOR SURVEILLANCE; EPIDEMIOLOGY; AND END RESULTS (SEER). PERIOD OF PERFORMANCE 05/01/2015-04/30/2016,CONNECTICUT STATE DEPT OF PUBLIC HEALTH,2015,2629053,
MECHANISMS OF LUMINAL PROTEIN TARGETING IN KIDNEY AND HEPATIC EPITHELIAL CELLS,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC",2015,499272,
PET IMAGING AGENTS FOR A4B2 NICOTINIC RECEPTORS,UNIVERSITY OF CALIFORNIA-IRVINE,2016,316725,
MUC1 ENHANCES NEUROPILIN-1 SIGNALING IN PANCREATIC DUCTAL ADENOCARCINOMA,UNIVERSITY OF NORTH CAROLINA CHARLOTTE,2013,434003,
MOLECULAR MECHANISM OF ANTIANGIOGENIC PROPERTIES OF GOLD NANOPARTICLE,UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,2016,188191,
ALPHA 5 NICOTINIC RECEPTOR SUBUNIT GENE POLYMORPHISMS AND SMOKING ADDICTION,DUKE UNIVERSITY,2016,392501,
DEFINING THE ROLE OF MIR-30 IN HUMAN SKIN,UNIVERSITY OF WISCONSIN-MADISON,2015,165550,
CAREER DEVELOPMENT PROGRAM,H. LEE MOFFITT CANCER CTR & RES INST,2016,,48567
COMBINATIONAL THERAPY OF MELANOMA USING T CELLS AND SITE-SPECIFIC IMMUNOMODULATORS,DARTMOUTH COLLEGE,2016,81000,
DORSAL-VENTRAL PATTERN FORMATION IN THE ZEBRAFISH EMBRYO,UNIVERSITY OF PENNSYLVANIA,2016,416033,
MANAGING PROSTATE CANCER METASTASIS USING VITAMIN K2,UNIVERSITY OF ILLINOIS AT CHICAGO,2016,173828,
DIVERSITY SUPPLEMENT TO R01 PARENT GRANT CA186885,NORTHWESTERN UNIVERSITY AT CHICAGO,2016,128725,
TARGETING BET BROMODOMAIN IN PANCREATIC CANCER,NORTHWESTERN UNIVERSITY AT CHICAGO,2016,320588,
VGAMMA2VDELTA2 T CELL RECOGNITION OF HIV-INFECTED CELLS IN THE LUNG,UNIVERSITY OF MARYLAND BALTIMORE,2016,31734,
RECIPIENT EPIDEMIOLOGY AND DONOR EVALUATION STUDY III (REDS-III) DOMESTIC HUB,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2014,1074774,
RECIPIENT EPIDEMIOLOGY AND DONOR EVALUATION STUDY III (REDS-III) DOMESTIC HUB,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2013,3684071,
MOLECULAR ANALYSIS OF LEUKOCYTE ACTIVATION BY CHEMOATTRACTANTS,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2015,2486098,
PROJECT 2 - 4-(METHYLNITROSAMINO)-1-(3-PYRIDYL)-1-BUTANONE (NNK) ?-HYDROXY GLUCURONIDES; METABOLIC PROFILING AND ACTIVATION,UNIVERSITY OF MINNESOTA,2016,,157251
BUFFALO CLINICAL AND TRANSLATIONAL RESEARCH CENTER,STATE UNIVERSITY OF NEW YORK AT BUFFALO,2016,46509,
BUFFALO CLINICAL AND TRANSLATIONAL RESEARCH CENTER,STATE UNIVERSITY OF NEW YORK AT BUFFALO,2016,3373083,
RADIO-IMMUNOTHERAPY TO TARGET CANCER STEM CELLS IN SOLID TUMOR MALIGNANCIES,UNIVERSITY OF CALIFORNIA AT DAVIS,2016,365534,
2016 AMERICAN SOCIETY FOR MATRIX BIOLOGY BIENNIAL MEETING; THE ECM MICROENVIRONMENT; A REGULATORY FORCE IN AGING AND DISEASE,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2016,36051,
TIME TO FIRST CIGARETTE AND EARLY DETECTION IN THE NATIONAL LUNG SCREENING TRIAL,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,2016,77350,
SOCIOECONOMIC STATUS AND SMOKING EXPOSURE IN APPALACHIA,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,2015,280534,
ACCURATE MR-BASED PET ATTENUATION CORRECTION FOR QUANTITATIVE CLINICAL TRIALS,CASE WESTERN RESERVE UNIVERSITY,2016,602540,
ELUCIDATING KRAS-SPECIFIC VULNERABILITIES IN PANCREATIC CANCER,DANA-FARBER CANCER INST,2016,177120,
REGULATION OF ENDOTHELIAL CELL BRANCHING MORPHOGENESIS VIA MCAK-TARGTED CONTROL,UNIVERSITY OF THE SCIENCES PHILADELPHIA,2015,237504,
